,±0,±1,±2,±4,±8,±16
phi,0.04545239145833546,0.01670458549913413,0.009115804761579435,0.005756293042053636,0.0031505722067486286,0.0012982166648910416
psi,0.09851245471854968,0.02071627309947179,0.011308731191833406,0.005535048498513259,0.0031564165367323105,0.001440306987184885
omega,0.12305146179922269,0.024704022689170827,0.011799489383987562,0.007912934151414185,0.004919403449476607,0.0023945725910203895
tau,0.09391451443220805,0.01809645817819723,0.009183404925008992,0.0050087712448110885,0.0033075726134211545,0.0018340222951559843
chi1,0.1832442880417241,0.033668765016428924,0.018792063204713536,0.01009661924296038,0.004314083128257192,0.0030374447979842
chi2,0.10519290254239315,0.037181496214050404,0.021008208312644317,0.011733779264074772,0.004945311986887489,0.0025243207750582806
chi3,0.08387217179077497,0.01830117233267237,0.012682959430192842,0.008143097949929567,0.0032706292041194797,0.0024116376590184595
chi4,0.09979691098533117,0.07447829773746573,0.043225312039045685,0.023726100819996696,0.014553179471323209,0.006774798187742821
sasa,0.15590590461342013,0.0870660855110247,0.06167969151638534,0.032726386824969624,0.016785655656312622,0.008498646821854498
ss,0.0036856665393469397,0.0008053923519057389,0.0004014450782029693,0.00015736002412930185,0.00014023505282867186,2.9687841039914797e-05
