,±0,±1,±2,±4,±8,±16
phi,293.0,102.66666666666667,65.6,37.111111111111114,19.941176470588236,9.93939393939394
psi,311.0,104.66666666666667,58.6,30.444444444444443,15.470588235294118,8.121212121212121
omega,323.0,122.33333333333333,75.0,43.77777777777778,20.529411764705884,10.272727272727273
tau,281.0,95.0,54.8,26.666666666666668,17.823529411764707,9.848484848484848
chi1,334.0,129.66666666666666,84.2,44.0,22.470588235294116,11.030303030303031
chi2,360.0,132.33333333333334,83.4,50.0,22.705882352941178,11.333333333333334
chi3,332.0,82.33333333333333,45.8,25.88888888888889,12.117647058823529,6.151515151515151
chi4,333.0,89.66666666666667,47.8,26.0,17.764705882352942,8.757575757575758
sasa,393.0,134.33333333333334,79.4,47.111111111111114,26.294117647058822,14.787878787878787
ss,13.333333333333334,2.3333333333333335,1.8,0.7777777777777778,0.45098039215686275,0.2222222222222222
