,±0,±1,±2,±4,±8,±16
phi,0.03820112652404337,0.03840211654850711,0.025567484474682732,0.0250237029115023,0.022652560254848606,0.02386483691529887
psi,0.032616214253669326,0.029088120175393264,0.03460524128300857,0.04085602463680699,0.038673272655420296,0.03372217832581005
omega,0.04091385759697871,0.03457398387940231,0.026332981827424363,0.026658021231292416,0.029134042037591096,0.02339167666286128
tau,0.11396698305288569,0.09816465862578393,0.06260076203643936,0.05110972479591613,0.05337296292975368,0.04814220291561127
chi1,0.04094583845353304,0.02397543813284476,0.028498527042583995,0.02311747373797385,0.02123196335175761,0.018395662064234708
chi2,0.018030070684196008,0.015575293763368456,0.015730811112635162,0.02451926133450424,0.026880550091405636,0.026103934973448123
chi3,0.04344213639103217,0.029536728245976446,0.03347960913236246,0.03024320205460992,0.03206515864510859,0.03736568972257745
chi4,0.020627410616306557,0.029721547938628298,0.03147359296808976,0.053380268401577266,0.051983530295575765,0.0570226963734803
sasa,0.05359565631410231,0.18318382771152522,0.16771061017096464,0.11207034397246732,0.07652142786674547,0.055284761279477616
ss,0.13954554047324155,0.07980239055951244,0.06428848176344114,0.04483581457634863,0.05511253658543232,0.06814423950017418
