,±0,±1,±2,±4,±8,±16
phi,0.10456436265231432,0.038240721527632575,0.023129406201742024,0.012788051349878253,0.006732427162867123,0.003543639548094575
psi,0.10628765820118323,0.036987732821643776,0.02252651587435916,0.012059726861402796,0.006680883550326269,0.0034574010002049907
omega,0.11112609677048982,0.040745152817877,0.02387923258629248,0.013535110992614141,0.0072453899785637765,0.003821923986845425
tau,0.10706158430013143,0.03753816303743645,0.022747575928309432,0.01274996696979638,0.006881953672776868,0.0036285941341094334
chi1,0.11547661899924247,0.03891144066781671,0.023298972035084846,0.013147302830938758,0.006856523950383237,0.003523401114536964
chi2,0.10832713863205833,0.03653890744024873,0.02267702356639837,0.012471633246526607,0.006542996240988342,0.0033748472338046053
chi3,0.10494733273907653,0.02815658225308627,0.016332941802601992,0.009083981464887904,0.004658225237772014,0.002309167142533681
chi4,0.10662174727552019,0.02275296123960671,0.011646035722201634,0.006033698475911408,0.0031502828086021504,0.0014796734559928144
sasa,0.11614953503961799,0.045928494426186565,0.02894840870450984,0.0164864772061189,0.008636109124292784,0.004361809542816625
ss,0.0064793084634552425,0.0025110590339328318,0.0016046291928334144,0.0009183872376786546,0.00047957922839738173,0.00026752438136373036
