,±0,±1,±2,±4,±8,±16
phi,0.07556552,0.021552583,0.01445319,0.008832094,0.004927861,0.0026107652
psi,0.073673576,0.02227969,0.013988413,0.009288144,0.005157877,0.0027069398
omega,0.078100175,0.022540772,0.013275678,0.009271589,0.005081468,0.002726601
tau,0.081618086,0.022106024,0.013433305,0.00911839,0.004966962,0.0028982298
chi1,0.08478812,0.024031296,0.014473772,0.008989764,0.0049728733,0.0029229706
chi2,0.0789643,0.022548115,0.013783574,0.009226877,0.004967045,0.0029108527
chi3,0.07976364,0.022624983,0.015979562,0.010856459,0.006046457,0.00322598
chi4,0.07539281,0.051543564,0.028746689,0.017645644,0.008650197,0.0038389992
sasa,0.0906015,0.027927825,0.018270658,0.012275797,0.006220921,0.0037045358
ss,0.09384408,0.03205948,0.017865058,0.0052021164,0.0026106231,0.0009190518
